39.67638727,255.802382,52.46351038,292.8106964,66.40818514,351.3000893,79.20808782,429.015684,87.25781507,522.4398065,88.79151074,601.2599462,90.04402712,664.8410491,94.21007554,705.3608078,127.043115,685.2038042,137.1628741,617.2071817,151.1086498,633.1369226,164.7889206,633.0924436
47.78104455,347.635262,63.09250086,396.3325575,85.89293262,476.2989388,112.0005442,592.0900104,131.4847777,731.755721,135.399797,859.5173729,138.5467203,954.1076201,149.2893094,1012.549802,157.7918888,1053.301923,184.7670309,876.8070316,212.8834303,891.1157296,236.6791252,887.0056008
58.92892924,472.7383017,79.10650457,535.0555554,111.4264026,641.5948651,151.6914384,797.9459236,188.6732581,1004.931412,204.5528019,1194.087403,208.5274123,1326.977306,229.6794084,1407.888306,237.8765314,1465.62897,260.4803247,1194.761966,306.2350972,1207.762134,332.638782,1196.353879
73.49979264,642.660078,99.1080324,725.8787998,146.387168,869.4204498,210.0299677,1077.023295,269.2439256,1359.269373,307.4128696,1633.909112,313.3121587,1814.589691,364.2509521,1921.760557,386.1506657,2003.211334,362.1606407,1637.558314,436.9937152,1635.009988,469.9602697,1603.330119
97.05425651,881.0343072,125.6091068,989.6997181,194.5331743,1171.446656,292.4018157,1455.686173,380.2509127,1835.726387,465.6755558,2223.116659,491.2110432,2481.638209,545.3211562,2601.700471,605.1268505,2686.408145,544.0097695,2224.664203,629.9548452,2159.774127,712.7545799,2143.273283
130.119098,1205.891667,161.4565337,1353.705901,253.7560473,1590.779375,416.7029521,1965.440876,559.9245793,2468.80138,700.8200672,3004.706231,778.3116882,3352.177946,824.9188565,3510.339495,945.7948314,3617.483416,792.9740696,2967.885361,891.5653013,2897.243066,854.071247,2801.716942
181.1202649,1648.042226,234.7472859,1841.809908,371.3362287,2160.321054,592.0542862,2636.202698,834.9131774,3320.028678,1096.146976,4055.183612,1206.994435,4505.027702,1315.574068,4709.247474,1518.993454,4795.479959,1222.677626,3948.104387,1364.759893,3860.140883,1584.747829,3737.048971
259.7121969,2247.577932,333.5503644,2519.100094,528.1512127,2917.563293,876.1592301,3533.392925,1300.89406,4380.854548,1711.466461,5307.466931,1901.210858,5936.868737,2181.25143,6144.919911,2365.096664,6144.440046,1857.999114,5274.357581,2104.917626,5013.330128,2642.211342,4634.364295
376.5765284,3089.939732,458.4230592,3439.302967,766.819758,3937.38852,1230.977938,4722.365888,1970.013976,5739.883754,2692.100563,6791.516097,2925.772443,7946.535595,3246.366868,7887.745912,3682.494467,7577.193703,2866.47646,6788.245186,3328.706703,6221.79077,3194.103468,6056.458473
584.0811008,4191.748777,673.0727786,4718.204501,1088.177156,5261.178419,1908.388163,6184.588367,3015.013698,7544.415446,4025.219856,8797.22923,4663.244112,9965.642726,4911.871568,9769.074655,5183.419285,9358.51388,4518.859361,8254.915103,4904.493211,7805.458058,4801.072315,7394.213877
953.4308357,5687.15777,1063.749586,6331.557858,1775.565297,7066.84066,2978.849701,8110.121062,4402.751914,9559.621374,6119.680136,10912.06796,6782.035266,12126.08913,7387.475548,11928.87709,7967.262314,11063.15179,6629.81242,9803.318757,6957.38304,8970.841843,7147.450224,9403.95628
1506.001989,7741.840585,1767.510598,8694.304537,2590.294629,9408.194647,4444.911972,10316.89547,6621.998561,11827.3508,9046.319171,13070.61563,10707.21522,14732.54251,10585.64937,13227.22958,11703.87672,13335.71968,9593.000427,11187.62991,10039.17091,9683.453002,10761.79706,6169.120973
2426.813167,10424.87058,2844.924379,11594.96427,4469.689691,12216.20517,6416.474053,12879.39371,10002.15397,14020.90243,13764.4924,13822.32349,14559.35827,16221.89599,15189.928,13963.09341,14776.57201,13077.5105,13252.63589,11953.9346,13072.15215,9111.571567,11886.23957,7461.197066
4436.651109,13570.00675,4425.243474,15003.89627,6667.180937,16221.78152,10312.75518,16103.27244,13219.29115,15999.37045,18465.1449,14726.62702,20689.5531,15193.36916,19742.13929,14839.18747,20057.79125,13901.37986,17309.77638,11782.89849,15758.23158,7911.989895,12973.41214,3481.07695
6929.344163,17903.60512,7907.695852,19931.00209,10796.52395,19835.30226,14482.85733,18658.60827,18956.74475,16837.68666,21987.20152,14539.02561,24694.50871,14818.21333,24213.30064,13735.57243,23145.75053,11957.16699,20277.23779,9567.7574,17386.52731,6032.751579,13785.79749,3190.093232
11239.91582,22494.6388,12735.37473,24975.39229,16320.21463,23539.52593,19936.81189,20462.08874,23832.06026,16674.89126,25856.28973,13014.46656,28550.73637,12529.93156,27750.31313,11787.21746,26016.15036,9856.958524,22368.78609,7567.818064,18299.70762,4548.586997,13901.39349,2209.660297
17528.29879,26938.36623,19855.51723,29761.99123,23586.06392,26102.56896,26089.75982,20937.16118,28156.94818,15312.05132,28913.15394,11327.80174,31273.34143,10307.26466,30067.91733,9349.352279,28014.54139,7380.317023,23529.72525,5678.414254,18655.62129,3272.5449,14305.66908,1623.364088
25786.42929,30138.56135,29035.1932,33026.77082,31576.48374,26668.1146,31986.50714,19978.60478,31759.12298,13372.91744,31063.34915,9478.220266,32878.58671,8047.356605,31824.16724,7181.772825,29037.85886,5249.236183,24093.23745,4023.168916,18804.78577,2405.797176,14104.97042,1162.134236
35262.5192,31083.09566,39344.25841,33775.69484,39430.21143,25224.9071,37193.63549,17921.0154,34622.61846,11341.17311,32682.61044,7668.364978,33895.86543,6066.381359,32653.45239,5026.628698,29113.84386,3501.618717,24214.57224,2820.72292,18842.05265,1739.219516,13872.71982,783.3795588
