1333.503272,7133.465418,1431.109803,7152.178245,1314.935823,7443.628156,1446.08235,7607.926832,1271.474218,7796.453182,1295.37553,7755.441573,1274.95306,7837.831076,1314.512898,8023.097157,1243.510863,7918.244251,1219.852974,7856.367954,1313.703989,7803.093935
2128.858582,9581.169956,2163.718825,9651.509105,1989.800031,10034.47674,2116.515213,10148.5303,2079.823452,10438.45063,2004.475178,10270.22854,2079.811932,10606.87022,1947.541782,10550.82243,2202.863401,10618.59989,1939.394788,10772.54151,2023.328133,10713.18636
3157.975963,12651.77484,3197.315202,12821.75195,3059.112394,13261.2015,3141.274895,13927.64552,3410.759695,14205.22499,3146.946474,13891.65631,3046.807855,14235.30888,3099.285831,14076.87901,3403.051422,13855.22948,3059.253839,14169.34488,3202.816493,14325.27848
4825.327429,16917.42998,5100.387932,16749.97982,5332.095959,17506.88363,5237.948846,17761.9932,5155.604242,18300.41684,4226.195315,19269.07677,4476.066168,18493.23114,5550.380777,18825.5943,5394.568508,18634.23989,5067.572066,19719.17404,5484.424865,19140.41327
6707.882048,22470.64405,8146.130136,23035.08323,7290.437183,23687.19722,7860.333072,24530.96166,8549.865533,24329.71232,8849.675723,23836.02417,8108.492742,25846.78096,7910.817442,24017.35924,7996.271004,24432.84114,9259.758801,27743.56115,7825.437771,23789.21819
12303.89818,28023.59907,11535.32935,29570.69263,13089.77237,28859.90632,13425.71143,30603.66518,13054.29189,30792.03372,14257.91067,31220.83142,13805.52512,33584.8435,12729.88824,31793.48663,13192.03035,32611.80173,13146.32807,33168.56566,15005.26633,31095.11999
18328.84585,37196.94011,18938.18631,35657.25861,21156.34231,34592.71038,19706.48968,35495.29171,19642.15776,37770.65219,21799.54742,40104.80181,21138.59033,40997.2473,20942.00984,45972.38372,22599.06515,40885.1781,21387.45934,38276.47939,24655.15932,38224.12454
27227.46333,43271.40416,30669.2415,43186.8717,30595.0382,42925.24526,30081.67839,47235.69987,31195.14446,45788.07885,33514.86944,48637.2226,33355.78078,51019.3213,36055.58784,46503.97796,37478.24211,46078.59895,31957.50913,45809.81656,36805.72399,41377.79013
36392.04746,47338.16712,42925.78667,49040.96183,46200.99185,54066.9803,39439.70803,52164.85163,43474.73715,52911.17185,43979.30059,52106.22732,48620.81385,54902.99339,49218.11404,56383.11007,47523.36877,47786.2274,59322.72904,51517.46783,48362.73129,49808.53329
51570.53298,50502.86967,57040.28527,52812.65141,50110.37871,53879.65476,68853.69917,49070.70571,49817.9647,48495.75276,78035.28632,58861.41745,71288.75481,41794.11486,74525.78326,44841.35887,68054.83355,52101.51196,61545.15028,47728.8877,57332.81533,51228.15132
66859.40219,49542.01508,68447.28605,54760.02245,68768.68268,45713.06001,81563.19255,42601.26669,79533.62247,43452.91496,104033.4048,53010.49759,80719.251,38222.37845,84846.20657,46189.79488,99082.84882,32283.04123,73377.73621,35700.19094,72440.18055,52421.87857
80773.77132,47834.03824,86273.7591,49389.52211,79537.34572,32877.82152,101333.9385,27134.51525,98455.95976,41920.26794,118294.129,49576.69068,101269.8377,35824.16675,95329.52313,26301.65823,107751.9195,23884.43374,84804.06822,32085.39591,86547.94715,35431.82414
94751.50845,41557.09395,112021.8338,24882.74894,91121.76185,29121.24623,112277.9885,21549.12919,113329.8558,19999.20926,114736.7846,19080.85623,111850.9596,34489.59234,111032.7585,17647.47711,108411.2268,18317.43574,89925.32152,27879.82738,106832.1646,15654.32128
