x1,y1,x2,y2,x3,y3,x11,y11,x22,y22,x33,y33
1027.858716,6895.956561,1320.57552,6749.217275,841.224816,6610.129806,1027.858716,6895.956561,1149.67792,6824.978774,1276.295597,6707.789349
1691.195796,9380.873322,2186.580428,8912.252493,1385.975695,8814.94338,1691.195796,9380.873322,1851.839963,9241.123312,2157.794372,8939.089526
2804.729652,12504.80639,3594.53451,11885.85879,2106.982851,12028.40816,2804.729652,12504.80639,3122.682832,12294.23749,3515.374371,11716.73056
4442.452139,16457.14374,5143.921743,15197.59505,3394.929411,15863.10507,4442.452139,16457.14374,4834.964816,16091.21668,5248.976296,15352.65571
7379.838436,22204.98272,7421.835367,19599.77378,5240.171273,20921.42306,7379.838436,22204.98272,6719.170021,20128.49674,7802.385046,18039.08994
10515.09631,27796.03291,11048.1311,22979.67416,8998.311123,27900.40323,10515.09631,27796.03291,11327.59681,25084.81565,10916.69516,23048.49254
17244.94172,32884.09266,14235.16666,25222.40992,13327.42548,35933.46279,17244.94172,32884.09266,16505.61065,30459.0892,14169.73564,27133.5389
21361.33336,40115.77012,16368.02107,32374.30285,19733.96471,44631.70469,21361.33336,40115.77012,19865.91278,36597.05428,17933.88652,32959.6866
23808.52248,49154.35251,18607.63028,40963.45506,19750.36229,49932.94427,23808.52248,49154.35251,23086.70288,44667.90334,19465.28025,40468.6918
29765.5018,63834.04065,22556.37149,51307.75438,35250.92456,67588.00089,29765.5018,63834.04065,27558.84825,55097.038,23147.14901,52319.31152
37245.03027,74510.49794,25705.00601,68620.18844,35501.36415,84020.47065,37245.03027,74510.49794,32047.8335,70926.87672,25476.58511,68539.12303
43601.66755,95306.52154,29660.48089,92214.15046,39652.18772,108136.0981,43601.66755,95306.52154,36762.9291,94037.4096,27056.27987,91886.56362
55233.66887,128324.4668,36989.45401,119192.5134,47489.2078,150108.1926,55233.66887,128324.4668,44367.95245,122785.9301,35002.61473,122640.4532
66756.68017,170517.1062,45673.0502,163386.4459,64298.29925,189145.0367,66756.68017,170517.1062,53664.03193,166672.0974,44504.71191,167071.6954
76839.4025,222760.478,60125.5693,222442.8075,70893.16609,255709.6056,76839.4025,222760.478,70964.09502,236367.0254,59750.98672,222661.8265
106798.316,295831.5427,86938.70618,299610.5198,97884.83343,346193.1496,106798.316,295831.5427,93663.18407,300094.7439,86207.13554,299247.7557
156248.2137,387828.2464,131206.6421,397011.0559,142199.1976,462402.1025,156248.2137,387828.2464,140762.5979,397894.8051,130556.9216,397597.3402
231764.0237,501201.6209,206177.735,518638.1198,218430.3679,612197.8864,231764.0237,501201.6209,214610.0397,519905.5461,205111.1801,519057.955
