1670,1669.75,1669.5,1669.25,1669,1668.75,1668.5,1668.25,1668,1667.75,1667.5,1667.25,1667,1666.75,1666.5,1666.25,1666,1665.75,1665.5,1665.25,1665,1664.75,1664.5,1664.25,1664,1663.75,1663.5,1663.25,1663,1662.75,1662.5,1662.25,1662,1661.75,1661.5,1661.25,1661,1660.75,1660.5,1660.25,1660,1659.75,1659.5,1659.25,1659,1658.75,1658.5,1658.25,1658,1657.75,1657.5,1657.25,1657,1656.75,1656.5,1656.25,1656,1655.75,1655.5,1655.25,1655,La,F,N
524.75,514,522,508.75,514.417,529.667,514.833,524.917,553.25,585.917,577.083,595.75,621,646.167,677.167,752,773.75,862.083,959.417,1087.08,1257.08,1469.25,1792.17,2181.92,2716,3311.25,4062.83,4761.17,5435.42,5881.67,6042.25,5863.17,5322.92,4626,3825,3073.08,2483.33,1959.08,1608.42,1312.42,1123.83,957.5,830.667,744.75,671.333,603.833,562.5,521.917,491.917,455.917,433.583,405.333,382.167,359.083,352.083,341.25,330.083,325.667,305,308.25,287.917,0,0,0
445.75,431.917,429.667,429.833,435.75,431.167,429.5,433.5,451.083,464.333,475.917,487.25,496.667,536.083,544.417,608.083,647.417,726.667,785.25,913.333,1076.67,1260.75,1537.25,1888,2349.17,2886.83,3519.58,4153.75,4771.92,5084.67,5246.42,5028.17,4614.17,3930.08,3245.5,2605.42,2049.08,1625.33,1320.42,1072.58,902.833,791.333,677,598.333,537.75,484.833,445,418.917,381.5,345.333,331.333,310.25,300.5,292.083,269.417,255.417,254.333,236.167,233.833,225.5,212.5,0,0,0
421.833,416.083,423.417,422.5,411,423,444.667,441.917,442.583,455.917,474.5,480.917,496.417,533.333,564.5,605.75,671.167,735.25,807.833,944.833,1107.33,1336.17,1636,1990.67,2510.42,3075.92,3734,4357.08,4896.58,5177.67,5208.58,4886.83,4374.58,3688.67,3004.17,2381.25,1919.83,1521.58,1222.5,1016.08,859.917,739,641.75,577.333,537,467.583,439.5,399.667,369.833,344.25,319.167,303.5,289,274.333,256.083,254.333,238.75,231,219.917,222.917,210.167,0,0,0
418.167,426.333,427.167,431.417,437.417,434,441.333,441.917,454.333,456.917,471.417,500.667,525.667,535.083,573.417,620.417,673.333,749.833,835,958.25,1116.75,1340.42,1628,2005.75,2508.25,3077.83,3726.42,4356.33,4884.17,5167,5198.92,4917.67,4346.67,3707,3034.08,2378,1911.67,1502.75,1224.67,1007.17,855.25,739.667,640.25,582.333,523.167,462.667,429.333,398.167,363,341.5,314.833,306.25,285.417,266.583,260.583,258.333,237.417,221,224.917,211.75,203.833,0,0,0
419.083,420.583,421.167,419.667,426.167,426.333,437.417,444.167,455.417,475.417,475,494.833,511.917,527.333,571.5,614.75,667.667,744.917,847.5,948.583,1117.42,1353,1600.08,1978.33,2503.25,3047.33,3694,4323.58,4864.92,5156.08,5182.08,4898.58,4349.5,3674.33,3032.25,2397.58,1910.5,1514,1232.92,998.5,856.75,744.333,655.333,579.167,512,471.25,420.583,398.5,376.833,346.667,328.833,311.333,291.75,279.417,261.5,248.167,238.5,234.167,215.167,215.333,206.583,0,0,0
420,416.25,409.25,400.083,423.667,413.583,428.5,432.667,438.5,456.417,450.083,487.5,491.75,531.167,553.167,584.75,643,709.083,801.083,902.5,1062,1267.67,1532.58,1893.25,2351.33,2889.5,3527.83,4108,4659.58,5046.67,5097.08,4889.42,4432.08,3768.58,3091,2471.25,1963.33,1552.42,1246.17,1015.83,861.083,740.583,648.667,583,516.5,462.25,442.667,395.75,376.417,342.333,327.917,295.583,289.75,271.25,253.333,255.167,231.417,227.167,212.583,218.083,208,0,0,0
400.167,415.583,415.417,418.583,413.083,411,423.417,422.25,429.5,462.417,455.167,487,499.417,527.083,547.5,579.583,641,715,777.75,912.083,1045.83,1266.75,1511.58,1860,2325.92,2860.42,3495.25,4111.5,4676.83,5004.67,5037.83,4827.75,4306.75,3717.33,3073.92,2459.08,1913,1531.25,1241.17,1012.08,837.167,745,643.25,574.583,503,461.75,422.167,395.75,368,336,312.667,298.083,279.167,267.083,257.333,244.083,236.667,220,215.333,210.5,207.917,0,0,0
440,435.083,427.5,433.667,424.5,430.583,442.917,436.333,442.083,466.833,472.667,478.917,497.583,528.75,553,576,616.833,659.083,710.083,793.917,926.167,1042.75,1240.33,1492.25,1795.42,2261.17,2798,3390.08,4027.08,4600.25,4941.25,5113.5,4937.08,4550.67,3933,3267.33,2608.42,2074.25,1670.33,1337.08,1102,919.25,801.833,693.333,609.583,543.583,476.5,456,411.75,381.833,351.167,348.333,316.417,293.167,278.667,273.25,256,246.083,226,228.583,220.417,0,0,2.8
440.417,424.083,433.75,432.333,432.333,428.167,435.667,447.25,457.333,454.917,467.417,479.833,496.833,523.917,542,563.417,609.333,649.833,712.833,789.5,885.833,1038.67,1228.08,1472.08,1842.5,2232.17,2793.17,3361.92,4020.5,4512.58,4901.08,5014.75,4837.67,4383.33,3740.58,3128.33,2502.75,2010.92,1556.33,1279.17,1044.75,886,755.083,669.917,590.167,528.5,470.917,437.333,399.667,375.25,346.75,323.417,312.917,291.75,278.083,257.333,252.917,238.667,241.583,229.083,220.333,0,0,2.8
